,지역명,연도,월,분양가격(㎡)
1060,세종,2016,10,2700
1065,강원,2016,10,2137
1070,충북,2016,10,2098
1075,충남,2016,10,2247
1080,전북,2016,10,1927
1085,전남,2016,10,1982
1090,경북,2016,10,2294
1095,경남,2016,10,2412
1100,제주,2016,10,3083
1105,서울,2016,11,6370
1110,인천,2016,11,3151
1115,경기,2016,11,3546
1120,부산,2016,11,3083
1125,대구,2016,11,3109
1130,광주,2016,11,2775
1135,대전,2016,11,2685
1140,울산,2016,11,3260
1145,세종,2016,11,2702
1150,강원,2016,11,2071
1155,충북,2016,11,2125
1160,충남,2016,11,2277
1165,전북,2016,11,1928
1170,전남,2016,11,2056
1175,경북,2016,11,2294
1180,경남,2016,11,2359
1185,제주,2016,11,3107
1190,서울,2016,12,6443
1195,인천,2016,12,3132
1200,경기,2016,12,3555
1205,부산,2016,12,3253
1210,대구,2016,12,3144
1215,광주,2016,12,2783
1220,대전,2016,12,2685
1225,울산,2016,12,3260
1230,세종,2016,12,2705
1235,강원,2016,12,2087
1240,충북,2016,12,2081
1245,충남,2016,12,2274
1250,전북,2016,12,2004
1255,전남,2016,12,2078
1260,경북,2016,12,2311
1265,경남,2016,12,2388
1270,제주,2016,12,3132
1275,서울,2017,1,6450
1280,인천,2017,1,3132
1285,경기,2017,1,3554
1290,부산,2017,1,3244
1295,대구,2017,1,3121
1300,광주,2017,1,2778
1305,대전,2017,1,2685
1310,울산,2017,1,3260
1315,세종,2017,1,2705
1320,강원,2017,1,2085
1325,충북,2017,1,2105
1330,충남,2017,1,2235
1335,전북,2017,1,2006
1340,전남,2017,1,2078
1345,경북,2017,1,2312
1350,경남,2017,1,2390
1355,제주,2017,1,3124
1360,서울,2017,2,6464
1365,인천,2017,2,3167
1370,경기,2017,2,3607
1375,부산,2017,2,3243
1380,대구,2017,2,3158
1385,광주,2017,2,2778
1390,대전,2017,2,2721
1395,울산,2017,2,3263
1400,세종,2017,2,2705
1405,강원,2017,2,2090
1410,충북,2017,2,2044
1415,충남,2017,2,2236
1420,전북,2017,2,2009
1425,전남,2017,2,2093
1430,경북,2017,2,2307
1435,경남,2017,2,2384
1440,제주,2017,2,3134
1445,서울,2017,3,6370
1450,인천,2017,3,3179
1455,경기,2017,3,3632
1460,부산,2017,3,3290
1465,대구,2017,3,3200
1470,광주,2017,3,2783
1475,대전,2017,3,2721
1480,울산,2017,3,3263
1485,세종,2017,3,2705
1490,강원,2017,3,2068
1495,충북,2017,3,1976
1500,충남,2017,3,2237
1505,전북,2017,3,2044
1510,전남,2017,3,2090
1515,경북,2017,3,2291
1520,경남,2017,3,2407
1525,제주,2017,3,3097
1530,서울,2017,4,6366
1535,인천,2017,4,3179
1540,경기,2017,4,3604
1545,부산,2017,4,3289
1550,대구,2017,4,3179
1555,광주,2017,4,2854
1560,대전,2017,4,2739
1565,울산,2017,4,3578
1570,세종,2017,4,2729
1575,강원,2017,4,2068
1580,충북,2017,4,2040
1585,충남,2017,4,2221
1590,전북,2017,4,2105
1595,전남,2017,4,2106
1600,경북,2017,4,2318
1605,경남,2017,4,2401
1610,제주,2017,4,3323
1615,서울,2017,5,6400
1620,인천,2017,5,3291
1625,경기,2017,5,3474
1630,부산,2017,5,3549
1635,대구,2017,5,3179
1640,광주,2017,5,2890
1645,대전,2017,5,2739
1650,울산,2017,5,3578
1655,세종,2017,5,2729
1660,강원,2017,5,2084
1665,충북,2017,5,2050
1670,충남,2017,5,2222
1675,전북,2017,5,2130
1680,전남,2017,5,2165
1685,경북,2017,5,2363
1690,경남,2017,5,2418
1695,제주,2017,5,3459
1700,서울,2017,6,6667
1705,인천,2017,6,3326
1710,경기,2017,6,3489
1715,부산,2017,6,3616
1720,대구,2017,6,3246
1725,광주,2017,6,2912
1730,대전,2017,6,2739
1735,울산,2017,6,3582
1740,세종,2017,6,2733
1745,강원,2017,6,2131
1750,충북,2017,6,2043
1755,충남,2017,6,2274
1760,전북,2017,6,2201
1765,전남,2017,6,2147
1770,경북,2017,6,2383
1775,경남,2017,6,2444
1780,제주,2017,6,3274
1785,서울,2017,7,6573
1790,인천,2017,7,3322
1795,경기,2017,7,3629
1800,부산,2017,7,3614
1805,대구,2017,7,3870
1810,광주,2017,7,2894
1815,대전,2017,7,2738
1820,울산,2017,7,3582
1825,세종,2017,7,2733
1830,강원,2017,7,2146
1835,충북,2017,7,2043
1840,충남,2017,7,2275
1845,전북,2017,7,2195
1850,전남,2017,7,2147
1855,경북,2017,7,2382
1860,경남,2017,7,2465
1865,제주,2017,7,3335
1870,서울,2017,8,6172
1875,인천,2017,8,3273
1880,경기,2017,8,3641
1885,부산,2017,8,3589
1890,대구,2017,8,3994
1895,광주,2017,8,2903
1900,대전,2017,8,2738
1905,울산,2017,8,3582
1910,세종,2017,8,2734
1915,강원,2017,8,2268
1920,충북,2017,8,2050
1925,충남,2017,8,2257
1930,전북,2017,8,2209
1935,전남,2017,8,2214
1940,경북,2017,8,2441
1945,경남,2017,8,2515
1950,제주,2017,8,3335
1955,서울,2017,9,6507
1960,인천,2017,9,3302
1965,경기,2017,9,3628
1970,부산,2017,9,3594
1975,대구,2017,9,3839
1980,광주,2017,9,2945
1985,대전,2017,9,2894
1990,울산,2017,9,3582
1995,세종,2017,9,2758
2000,강원,2017,9,2235
2005,충북,2017,9,2054
2010,충남,2017,9,2257
2015,전북,2017,9,2219
2020,전남,2017,9,2214
2025,경북,2017,9,2429
2030,경남,2017,9,2510
2035,제주,2017,9,3222
2040,서울,2017,10,6578
2045,인천,2017,10,3300
2050,경기,2017,10,3625
2055,부산,2017,10,3723
2060,대구,2017,10,3839
2065,광주,2017,10,2912
2070,대전,2017,10,2729
2075,울산,2017,10,3385
2080,세종,2017,10,2759
2085,강원,2017,10,2279
2090,충북,2017,10,2060
2095,충남,2017,10,2283
2100,전북,2017,10,2182
2105,전남,2017,10,2305
2110,경북,2017,10,2367
2115,경남,2017,10,2436
2120,제주,2017,10,3222
2125,서울,2017,11,"6,657"
2130,인천,2017,11,"3,300"
2135,경기,2017,11,"3,557"
2140,부산,2017,11,"3,820"
2145,대구,2017,11,"3,658"
2150,광주,2017,11,"2,895"
2155,대전,2017,11,"2,782"
2160,울산,2017,11,"3,374"
2165,세종,2017,11,"2,760"
2170,강원,2017,11,"2,319"
2175,충북,2017,11,"2,077"
2180,충남,2017,11,"2,258"
2185,전북,2017,11,"2,200"
2190,전남,2017,11,"2,389"
2195,경북,2017,11,"2,390"
2200,경남,2017,11,"2,621"
2205,제주,2017,11,"3,560"
2210,서울,2017,12,6706
2215,인천,2017,12,3318
2220,경기,2017,12,3617
2225,부산,2017,12,3842
2230,대구,2017,12,3561
2235,광주,2017,12,2896
2240,대전,2017,12,2706
2245,울산,2017,12,3162
2250,세종,2017,12,3161
2255,강원,2017,12,2302
2260,충북,2017,12,2077
2265,충남,2017,12,2357
2270,전북,2017,12,2226
2275,전남,2017,12,2400
2280,경북,2017,12,2390
2285,경남,2017,12,2696
2290,제주,2017,12,3578
2295,서울,2018,1,6623
2300,인천,2018,1,3333
2305,경기,2018,1,3846
2310,부산,2018,1,3842
2315,대구,2018,1,3585
2320,광주,2018,1,2894
2325,대전,2018,1,2744
2330,울산,2018,1,3162
2335,세종,2018,1,3161
2340,강원,2018,1,2324
2345,충북,2018,1,2077
2350,충남,2018,1,2394
2355,전북,2018,1,2226
2360,전남,2018,1,2400
2365,경북,2018,1,2441
2370,경남,2018,1,2696
2375,제주,2018,1,3636
2380,서울,2018,2,6631
2385,인천,2018,2,3342
2390,경기,2018,2,3876
2395,부산,2018,2,3850
2400,대구,2018,2,3364
2405,광주,2018,2,2894
2410,대전,2018,2,2887
2415,울산,2018,2,3174
2420,세종,2018,2,3161
2425,강원,2018,2,2323
2430,충북,2018,2,2166
2435,충남,2018,2,2394
2440,전북,2018,2,2273
2445,전남,2018,2,2356
2450,경북,2018,2,2441
2455,경남,2018,2,2698
2460,제주,2018,2,3829
2465,서울,2018,3,6836
2470,인천,2018,3,3457
2475,경기,2018,3,3876
2480,부산,2018,3,3817
2485,대구,2018,3,3392
2490,광주,2018,3,2930
2495,대전,2018,3,2887
2500,울산,2018,3,3174
2505,세종,2018,3,3161
2510,강원,2018,3,2391
2515,충북,2018,3,2455
2520,충남,2018,3,2394
2525,전북,2018,3,2263
2530,전남,2018,3,2348
2535,경북,2018,3,2440
2540,경남,2018,3,2697
2545,제주,2018,3,3925
2550,서울,2018,4,6841
2555,인천,2018,4,3457
2560,경기,2018,4,3859
2565,부산,2018,4,3863
2570,대구,2018,4,3524
2575,광주,2018,4,2885
2580,대전,2018,4,2972
2585,울산,2018,4,3174
2590,세종,2018,4,3131
2595,강원,2018,4,2277
2600,충북,2018,4,2631
2605,충남,2018,4,2394
2610,전북,2018,4,2317
2615,전남,2018,4,2355
2620,경북,2018,4,2440
2625,경남,2018,4,2690
2630,제주,2018,4,3925
2635,서울,2018,5,6919
2640,인천,2018,5,3436
2645,경기,2018,5,3987
2650,부산,2018,5,3853
2655,대구,2018,5,3651
2660,광주,2018,5,2906
2665,대전,2018,5,2972
2670,울산,2018,5,3174
2675,세종,2018,5,3131
2680,강원,2018,5,2289
2685,충북,2018,5,2636
2690,충남,2018,5,2453
2695,전북,2018,5,2326
2700,전남,2018,5,2356
2705,경북,2018,5,2628
2710,경남,2018,5,2695
2715,제주,2018,5,3925
2720,서울,2018,6,6694
2725,인천,2018,6,3372
2730,경기,2018,6,3927
2735,부산,2018,6,3884
2740,대구,2018,6,3669
2745,광주,2018,6,3000
2750,대전,2018,6,2972
2755,울산,2018,6,3125
